Run,SP,SSP,SF,MIN,MAX,COMP,DIR
1,285.0,135.0,27.00000000000000000000,150.0,585.0,-.--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--0--1--1--1--1--1--1--1--1--1--1--1--1--1--1--1-,FW
2,255.0,260.0,13.00000000000000000000,-5.0,565.0,-.--2--2--2--2--2--2--2--2--2--2--2--2--2--2--2--0--0--0--0--0--1--1--1--1--1--1--1--1--1--1--1--1--1--1-,BW
3,345.0,350.0,17.50000000000000000000,-5.0,445.0,-.--2--2--2--2--2--2--2--2--2--2--2--2--2--2--2--0--0--0--0--0--1--1--1--3--3--3--3--3-,FW
4,195.0,300.0,15.00000000000000000000,-105.0,445.0,-.--4--4--4--4--4--4--4--4--4--4--4--4--4--4--4--4--4--2--2--2--0--0--0--0--0--1--1--1--3--3--3--3--3-,BW
5,195.0,100.0,5.00000000000000000000,95.0,445.0,-.--5--5--5--5--5--5--5--2--2--2--0--0--0--0--0--1--1--1--3--3--3--3--3-,BW
6,345.0,230.0,11.50000000000000000000,115.0,525.0,-.--5--5--5--5--5--5--2--2--2--0--0--0--0--0--1--1--1--6--6--6--6--6--6--6--6--6-,FW
7,235.0,640.0,32.00000000000000000000,-405.0,525.0,-.--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--2--0--0--0--0--0--1--1--1--6--6--6--6--6--6--6--6--6-,BW
8,-85.0,360.0,18.00000000000000000000,-445.0,525.0,-.--8--8--8--8--8--8--8--8--8--8--8--8--8--8--8--8--8--8--8--8--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--2--0--0--0--0--0--1--1--1--6--6--6--6--6--6--6--6--6-,BW
9,-285.0,1040.0,52.00000000000000000000,-1325.0,525.0,-.--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--9--8--8--8--8--8--8--8--8--8--8--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--7--2--0--0--0--0--0--1--1--1--6--6--6--6--6--6--6--6--6-,BW
