	state	time	stop	file	offset	wc	bp	hg
I	300.0	False	../../0/0/0-0.trr	30057120	0.773173749447	0.690552055836	0.745331585407
I	305.0	False	../../0/0/0-0.trr	30558072	0.825523376465	0.729146957397	0.867201089859
I	310.0	False	../../0/0/0-0.trr	31059024	1.04915165901	0.863442480564	0.771128118038
I	315.0	False	../../0/0/0-0.trr	31559976	1.03392493725	0.825691699982	0.817125916481
I	320.0	False	../../0/0/0-0.trr	32060928	1.08429431915	1.05027282238	1.0493555069
I	325.0	False	../../0/0/0-0.trr	32561880	1.00848960876	0.774262189865	0.756178438663
I	330.0	False	../../0/0/0-0.trr	33062832	0.945057928562	0.71268594265	0.58610367775
I	335.0	False	../../0/0/0-0.trr	33563784	0.961667239666	0.716794550419	0.627665698528
I	340.0	False	../../0/0/0-0.trr	34064736	1.01800775528	0.844400405884	0.729116380215
I	345.0	False	../../0/0/0-0.trr	34565688	0.973775625229	0.802014350891	0.631184101105
I	350.0	False	../../0/0/0-0.trr	35066640	0.980374693871	0.805983901024	0.651963472366
I	355.0	False	../../0/0/0-0.trr	35567592	0.935351133347	0.729242563248	0.609426856041
I	360.0	False	../../0/0/0-0.trr	36068544	0.94084405899	0.720613121986	0.605778634548
I	365.0	False	../../0/0/0-0.trr	36569496	0.998348534107	0.786557853222	0.638019680977
I	370.0	False	../../0/0/0-0.trr	37070448	1.01644968987	0.803020775318	0.659564614296
I	375.0	False	../../0/0/0-0.trr	37571400	1.05947232246	0.917040586472	0.705801427364
I	380.0	False	../../0/0/0-0.trr	38072352	1.00218200684	0.842342376709	0.706035196781
I	385.0	False	../../0/0/0-0.trr	38573304	1.04143679142	0.841518938541	0.699063360691
I	390.0	False	../../0/0/0-0.trr	39074256	1.01815295219	0.813444256783	0.655814111233
I	395.0	False	../../0/0/0-0.trr	39575208	0.988444507122	0.816548347473	0.659001231194
I	400.0	False	../../0/0/0-0.trr	40076160	0.983494699001	0.758131325245	0.639577686787
I	405.0	False	../../0/0/0-0.trr	40577112	1.02942585945	0.778058111668	0.66106325388
I	410.0	False	../../0/0/0-0.trr	41078064	1.18870651722	0.943730413914	0.846369922161
I	415.0	False	../../0/0/0-0.trr	41579016	1.01644408703	0.743456363678	0.663053750992
I	420.0	False	../../0/0/0-0.trr	42079968	1.01402974129	0.78654897213	0.653090894222
I	425.0	False	../../0/0/0-0.trr	42580920	0.837667286396	0.606913626194	0.516105234623
I	430.0	False	../../0/0/0-0.trr	43081872	0.859690964222	0.647649168968	0.499512881041
I	435.0	False	../../0/0/0-0.trr	43582824	0.918218195438	0.707961440086	0.557030498981
I	440.0	False	../../0/0/0-0.trr	44083776	0.960672795773	0.736506164074	0.595534801483
I	445.0	False	../../0/0/0-0.trr	44584728	0.916354656219	0.695326328278	0.543260872364
I	450.0	False	../../0/0/0-0.trr	45085680	0.937292277813	0.670752346516	0.575587391853
I	455.0	False	../../0/0/0-0.trr	45586632	0.883960843086	0.622057259083	0.533765673637
I	460.0	False	../../0/0/0-0.trr	46087584	0.913965940475	0.637227118015	0.588117182255
I	465.0	False	../../0/0/0-0.trr	46588536	0.935435891151	0.693695247173	0.578383803368
I	470.0	False	../../0/0/0-0.trr	47089488	0.915287196636	0.661112189293	0.56474083662
I	475.0	False	../../0/0/0-0.trr	47590440	0.920246303082	0.632021129131	0.54689604044
I	480.0	False	../../0/0/0-0.trr	48091392	0.984473407269	0.707443058491	0.619687378407
I	485.0	False	../../0/0/0-0.trr	48592344	0.925264894962	0.640127658844	0.550782322884
