	state	time	stop	file	offset	bp	wc	hg
	A	220.0	True	../../0/0/0-0.trr	22041888	0.272464126348	0.308271944523	0.642783880234
	I	225.0	False	../../0/0/0-0.trr	22542840	0.283569872379	0.380880683661	0.713334619999
	I	230.0	False	../../0/0/0-0.trr	23043792	0.525453805923	0.514090180397	0.856054723263
	I	235.0	False	../../0/0/0-0.trr	23544744	0.625868141651	0.633001327515	0.967073202133
	I	240.0	False	../../0/0/0-0.trr	24045696	0.538828611374	0.549246013165	0.905435025692
	I	245.0	False	../../0/0/0-0.trr	24546648	0.507985413074	0.536688506603	0.893285274506
	I	250.0	False	../../0/0/0-0.trr	25047600	0.608876824379	0.593479454517	0.913949131966
	I	255.0	False	../../0/0/0-0.trr	25548552	0.529110252857	0.546842455864	0.900220215321
	I	260.0	False	../../0/0/0-0.trr	26049504	0.530841529369	0.559334456921	0.856329500675
	I	265.0	False	../../0/0/0-0.trr	26550456	0.751729428768	0.819602429867	0.965467572212
	I	270.0	False	../../0/0/0-0.trr	27051408	0.802494823933	0.88339805603	1.01174592972
